   0.0000000000        0.0000000000
   0.2550952137        0.0649329275
   0.5101904273        0.1230308115
   0.7652857304        0.1742936522
   1.0203808546        0.2187214345
   1.2754760981        0.2563141584
   1.5305714607        0.2870718837
   1.7856665850        0.3109945357
   2.0407617092        0.3280821443
   2.2958569527        0.3383346796
   2.5509521961        0.3417522311
   2.8060474396        0.3383347094
   3.0611429214        0.3280821443
   3.3162381649        0.3109945655
   3.5713331699        0.2870718241
   3.8264284134        0.2563142180
   4.0815234184        0.2187213898
   4.3366193771        0.1742936373
   4.5917139053        0.1230306625
   4.8468093872        0.0649329424
   5.1019043922        0.0000000000



   0.0000000000        0.0000000000
   0.4418418109        0.2423339635
   0.8836836219        0.4591591060
   1.3255254030        0.6504753828
   1.7673672438        0.8162828684
   2.2092092037        0.9565815330
   2.6510508060        1.0713711977
   3.0928926468        1.1606521606
   3.5347344875        1.2244242430
   3.9765763283        1.2626876831
   4.4184184074        1.2754421234
   4.8602595329        1.2626876831
   5.3021016121        1.2244242430
   5.7439436913        1.1606523991
   6.1857852936        1.0713713169
   6.6276268959        0.9565813541
   7.0694689751        0.8162827492
   7.5113115311        0.6504755020
   7.9531526566        0.4591593742
   8.3949937820        0.2423343658
   8.8368368149        0.0000004768



   0.0000000000        0.0000000000
   0.5102040768        0.4846713841
   1.0204081535        0.9183247685
   1.5306122303        1.3009598255
   2.0408163071        1.6325773001
   2.5510206223        1.9131766558
   3.0612244606        2.1427574158
   3.5714285374        2.3213207722
   4.0816326141        2.4488658905
   4.5918369293        2.5253932476
   5.1020412445        2.5509023666
   5.6122450829        2.5253927708
   6.1224489212        2.4488654137
   6.6326532364        2.3213210106
   7.1428570747        2.1427574158
   7.6530609131        1.9131770134
   8.1632652283        1.6325774193
   8.6734704971        1.3009595871
   9.1836738586        0.9183254242
   9.6938781738        0.4846715927
  10.2040824890        0.0000009537



   0.0000000000        0.0000000000
   0.4418653846        0.7270148396
   0.8837307692        1.3775017262
   1.3255960941        1.9514608383
   1.7674615383        2.4488921165
   2.2093269825        2.8697953224
   2.6511921883        3.2141706944
   3.0930576324        3.4820184708
   3.5349230766        3.6733381748
   3.9767885208        3.7881300449
   4.4186539650        3.8263938427
   4.8605189323        3.7881298065
   5.3023843765        3.6733379364
   5.7442498207        3.4820175171
   6.1861152649        3.2141709328
   6.6279802322        2.8697967529
   7.0698461533        2.4488925934
   7.5117115974        1.9514617920
   7.9535770416        1.3775024414
   8.3954420090        0.7270164490
   8.8373079300        0.0000000000



   0.0000000000        0.0000000000
   0.2551361918        0.9044322371
   0.5102723837        1.7136610746
   0.7654085159        2.4276864529
   1.0205447674        3.0465085506
   1.2756808996        3.5701274872
   1.5308170319        3.9985425472
   1.7859531641        4.3317546844
   2.0410895348        4.5697631836
   2.2962257862        4.7125687599
   2.5513617992        4.7601704597
   2.8064980507        4.7125682831
   3.0616340637        4.5697631836
   3.3167703152        4.3317546844
   3.5719063282        3.9985437393
   3.8270425797        3.5701284409
   4.0821790695        3.0465087891
   4.3373146057        2.4276857376
   4.5924515724        1.7136631012
   4.8475875854        0.9044342041
   5.1027235985        0.0000019073



   0.0000000000        0.0000000000
   0.0000473958        0.9693877697
   0.0000947917        1.8367346525
   0.0001421875        2.6020405293
   0.0001895833        3.2653062344
   0.0002369791        3.8265304565
   0.0002843750        4.2857141495
   0.0003317708        4.6428565979
   0.0003791666        4.8979597092
   0.0004265624        5.0510196686
   0.0004739583        5.1020407677
   0.0005213541        5.0510201454
   0.0005687499        4.8979592323
   0.0006161457        4.6428565979
   0.0006635415        4.2857141495
   0.0007109374        3.8265295029
   0.0007583332        3.2653074265
   0.0008057290        2.6020412445
   0.0008531249        1.8367328644
   0.0009005207        0.9693889618
   0.0009479166        0.0000000000



